PLATEIFU,Omega_sini,Omega_sini_ll,Omega_sini_ul,Omega,Omega_ll,Omega_ul,Omega_phys_sini,Omega_phys_sini_ll,Omega_phys_sini_ul,Omega_phys,Omega_phys_ll,Omega_phys_ul,Rcr,Rcr_ll,Rcr_ul,Rcr_phys,Rcr_phys_ll,Rcr_phys_ul,R,R_ll,R_ul
8440-12704,20.974267863533612,20.229979132911957,22.05385080872852,25.488303212139023,24.583830313876593,26.800231601192507,38.638784896463136,37.26765660009234,40.62759201329227,46.954538370415904,45.28831888718886,49.371372138060025,7.0522315288422455,6.5771680896163875,7.3286048887152315,3.8281585075190625,3.570280112709428,3.978182088639788,1.2717931833459284,1.1659704004567946,1.3621764099386513
12495-6102,15.995427964004445,6.980127794717444,17.623707235459474,17.76167765327527,7.750888575625233,19.5697550372738,29.690976380301972,12.956627978371444,32.713415135807665,32.96951809383841,14.387326812581758,36.32570106205072,10.422983899658673,8.66363404426856,29.021814106076867,5.615177015450942,4.66736197848758,15.634929985881431,1.5521044409418023,1.255712097495378,4.6027075326501405
8450-12705,6.102993097329725,5.528054769458339,6.703763623713152,8.659207687222802,7.843458708158545,9.5116085792691,7.227479671147808,6.546608005297117,7.938943160818275,10.254681027745622,9.288628949868274,11.26413819420193,,,,,,,,,
8981-6101,19.23965261374152,12.932086463231416,20.31075983177914,25.067170416671445,16.84909918723894,26.46270638128128,28.951372469974558,19.459896679398472,30.563149181708802,37.72048290430388,25.35412442971533,39.820452291371076,8.860581893463323,8.40286191766035,16.143061231904866,5.88830521809083,5.584127122977982,10.727881399968764,1.4771718812321022,1.3328519203377789,2.5581962839172663
12483-12704,4.101535585563978,2.767594514397256,5.633052386243016,4.930379433899906,3.3268737502083976,6.771387217257178,9.049849820373304,6.106570136106761,12.429071273993358,10.87865568966311,7.340594073277604,14.940754776688522,23.220649083522133,15.852603126294175,35.21180329628358,10.523966742691314,7.184651362936791,15.958548165789198,1.3145894084556171,0.8745421748350124,2.1077308282753333
8322-1901,25.459780214025958,21.995421045558665,30.618743837567866,35.81979544104602,30.945729926511557,43.07802862804207,54.46847340757687,47.05684794751101,65.50552363257228,76.63261658365033,66.20507535456495,92.16082923939385,4.050237144899612,2.6175384914513122,5.513272541860973,1.8931712433395247,1.2234959146997721,2.5770266430172946,1.252668023238062,0.8067833517498331,1.721219451747446
8245-12702,15.564377387571668,15.07007438467911,16.096581488381315,17.944597360462282,17.374701877970498,18.558190057735345,22.77789229761004,22.05449808260839,23.556753371633373,26.26125644620844,25.427235425139017,27.159226729571404,14.20903171717493,13.35088496624723,14.968654196908684,9.70918331988472,9.122802468186752,10.228241483483979,0.9734820878161409,0.9011635743185796,1.0415756246707937
8442-9102,7.8494533600580585,6.370544443891147,9.992875681600047,14.01273788802154,11.372609709420365,17.839146403031858,16.882382946082416,13.701587351811781,21.492395234528598,30.138201515080787,24.459888275500187,38.36793305119847,7.337093187527522,5.914525537861184,8.732968454433157,3.4113768748067264,2.749954938505103,4.0603882044885315,0.9731188582643482,0.7702786694871734,1.22912080835383
8323-6101,22.197884533707267,19.444343478002146,24.87169898552778,28.61040647434452,25.0614228435894,32.05663209045666,33.092350863478906,28.98740353870021,37.07844268448665,42.652064792844236,37.361280829203295,47.78965829054522,6.365458813154395,5.364396962706972,7.676679592026268,4.269860437579566,3.598362197427184,5.149408934078726,1.0492573119730773,0.8757527208623985,1.280600457742541
11963-9102,15.136107037497226,14.570008323402256,15.602938208670505,20.40139719080201,19.638373733922215,21.03062160898029,22.712630759547675,21.863165898150935,23.413138756196933,30.61351245902513,29.468550283873252,31.557701201848502,9.393798825682042,9.314719737232448,9.533340813111984,6.260197069177854,6.207497337479111,6.353190367942984,1.5515925208350985,1.4075622358227884,1.7445421762132758
10001-6102,9.594977552469503,7.584207914544888,10.680961222011721,11.129640912296864,8.797259840525589,12.3893216371895,18.272351067741177,14.443109306664097,20.340461676150262,21.194912118897307,16.753204409410237,23.593805530855406,,,,,,,,,
12622-1902,18.841976807760318,15.896192756592777,23.120299895450238,24.44748135722563,20.625323979148938,29.998609298504533,38.306146891437606,32.317304121606654,47.0040703799423,49.702259033131924,41.93173031098129,60.987822352805146,4.835676718345202,2.7501446863748726,6.57468631964387,2.378566260791242,1.3527375265780983,3.2339480006724237,1.5171569999972032,0.8605384896100323,2.153223823472273
8985-6104,9.90612558050528,8.962556694412525,10.373161178415748,13.783782509811065,12.470862720612933,14.433634669832754,17.6606210760393,15.978428333680117,18.493251215510792,24.573700173897304,22.233029372601155,25.732255318420652,13.565355938664226,12.74388256645623,15.522407971050203,7.6090256902107765,7.148248101976685,8.706767559929121,2.529721520019756,2.0832242901628653,3.2474626309574175
8444-12703,24.982268121234732,24.09495098255164,25.791545011630443,43.09049477561247,41.56001186096327,44.486370500282135,32.36501644107677,31.215479751991392,33.41345046379777,55.82457786054303,53.841807342869146,57.6329621337161,3.010281294960795,2.7463524331512614,3.296600836671216,2.3236093381247875,2.1198849988320156,2.5446168439414856,0.6137163957370309,0.559046368320308,0.6739758215189617
8985-12703,7.200375760523078,3.0585519653981783,8.770282226927874,10.200001283786754,4.332723042682368,12.423919660456413,14.57514351739072,6.191181590200431,17.752979343984773,20.647045033933274,8.770383972796125,25.14874474919482,18.907024544927474,15.399622479821755,46.762727269086604,9.340400735984133,7.607682784914727,23.10160497030641,3.1262419111827375,2.4873997127305847,7.527731419954383
12487-6101,12.271043211469353,9.935968658374216,14.858049810495615,29.68457065933879,24.035850793256873,35.942732973786,18.16998722268529,14.712394085526432,22.000621345575087,43.95455710619241,35.59038088885946,53.22114734887974,6.636121833913517,5.3214039541823634,8.193865399974673,4.481683821926948,3.593793273884608,5.533700996031478,1.1975349400506203,0.9677389113747209,1.5028161165653688
8721-6103,11.5614190000227,9.197168461697876,15.555193678461102,17.20555804328592,13.687110189615199,23.14904318481937,12.947876628293022,10.30010265793998,17.420589001879648,19.26886681167453,15.328482959802939,25.92510099491075,12.149648468007285,8.536722040286648,16.126633670707026,10.84866504942398,7.622610504244064,14.399794984106068,2.247597519890579,1.5888280326782391,2.9957311931623125
11866-12701,37.99846549103229,35.89805095351194,39.473783930516326,49.41899990951198,46.68730049748828,51.33772901831164,40.81656606715731,38.560377359764644,42.40129933933398,53.08408770494903,50.14979580432493,55.14511654972651,4.024143436894244,3.6960085781069774,4.489705057585015,3.746304264454738,3.4408248400583417,4.179722086734548,0.6597512598432713,0.595908218089976,0.7439291216930597
8596-12704,7.468651752893393,4.379128099823622,12.656412308925315,9.964345220733438,5.842439250906636,16.885626171178092,10.126253592169562,5.937371712937407,17.159996857208313,13.51000018791609,7.9213790398790636,22.89410971741758,21.85887197959478,13.192208019057844,40.2168386353593,16.12208316142861,9.729956557898223,29.662062048502715,4.083476708758123,2.3407116760534175,7.437961961153111
8262-9102,7.687965654992707,6.836475679961313,8.341962326557681,9.986114008930688,8.880089821296213,10.835608610856719,15.552773245359631,13.830206951926733,16.875810104852423,20.20193296289583,17.964443337406813,21.92046261167652,9.216961300770837,8.335814776319662,10.626234998614914,4.556080179775333,4.120516431103178,5.252704994950493,2.009772399506753,1.7558092510249335,2.4213914358389936
8942-12702,13.237939103737572,11.472739288290736,14.674231712132931,21.87994919645716,18.962389145688554,24.25388437297302,25.79236051252049,22.353103868426626,28.590785287472222,42.630165711468095,36.94568869003314,47.25546209833269,8.407483629396758,6.740325405732146,10.888283207820233,4.315144255509189,3.459474646267567,5.588415607768933,1.3267688575373437,1.0687677990036573,1.7315169923452782
12075-12703,13.197161867351944,8.908249832389076,17.574654499568954,15.922565989681969,10.74793180795088,21.204073938618546,37.373661226850885,25.22769021902319,49.7704877797059,45.09186089720648,30.43757182924146,60.04881079556235,5.474995498398107,3.767630363371126,9.0764139352937,1.9332973929637993,1.3304029128951456,3.2050085527372016,1.0846617406633738,0.7351999129472976,1.7418059390486582
10846-9102,22.646562432781437,21.036187064125468,25.147041112603617,55.574824753967604,51.622952183161296,61.7110171604141,23.6039374699177,21.92548407913601,26.21012295959496,57.924229882034815,53.80529336231956,64.31982754923264,6.066591615345123,4.979347235668932,6.70095196204252,5.820530830764854,4.777385052421397,6.429161539716379,1.0526359402956786,0.859885947487459,1.2609422937663606
8547-9102,28.726361279642404,27.285149682862915,30.3878607181791,37.33421191934066,35.46114144407277,39.49357946117249,33.52077069932397,31.839021904390858,35.45957322130275,43.565265534520385,41.379580919127626,46.085029994789984,3.8355513647511197,3.684899378308053,4.0575596617863585,3.286960052284485,3.157855520981253,3.477214942451466,0.9320695696741941,0.8163987081304064,1.068660800872261
7993-12704,8.862412818525078,7.771163555480277,10.03830542355451,17.115367380220373,15.007912850302093,19.38628776577205,10.921553621729744,9.576757618083377,12.370659458052288,21.09204416746974,18.49493228324922,23.8906024460503,12.08759702216216,9.627426213457653,15.248670366957471,9.808611348227682,7.8122791352498275,12.37369850537657,0.8710703517050311,0.6844292129559286,1.0923237581542158
10492-12701,12.23318336219355,11.6902824139622,12.643263705000166,13.884446766666152,13.268263791874286,14.349880703293886,22.8203333361075,21.807581361391186,23.585315748318656,25.900674748485674,24.751219168162933,26.768916257282704,7.550305792053094,6.385577225770671,9.208409073126873,4.047455128478514,3.423084839549683,4.936306363562626,0.5446672079720319,0.4577468862539606,0.6644634433668937
10492-12702,8.255651609663367,7.875172232645627,8.649677067874846,12.72232952210755,12.135993731832691,13.329540431249859,15.117993962709646,14.421248848374054,15.839545062494722,23.29750696864343,22.223791487830237,24.409449585960243,11.160555530248981,10.781005832164109,11.624051159792929,6.0945690582564085,5.887304120615171,6.347675287135376,2.3679647002467785,2.2159638298529365,2.548282449837208
10492-6102,28.882642896593733,27.375109828674727,30.431165118545113,35.489392752026845,33.63701956978059,37.39213113773583,48.534753889550515,46.00147649198809,51.13690997353458,59.63681886993658,56.52406783694409,62.83420421992744,5.87429059567857,5.398315386340723,6.390311160129851,3.495743234464648,3.212494203672792,3.802822935007931,0.9726071255752506,0.8505117645695102,1.1184076236386942
10492-9101,15.476691914879055,13.958981627712317,16.162624893096353,20.58664328013712,18.56782941110494,21.49905128142749,28.73400545982728,25.916226575441843,30.007507707566862,38.22113431374067,34.47300719108488,39.91510978568651,5.151891754923021,5.057272312632114,6.352799890461892,2.7749086907227327,2.7239448263376786,3.4217410739695424,0.8763514632237368,0.8151770449804774,1.1255505459169692
11016-12703,22.36044502068298,22.091229315489485,22.677984068491067,28.33945034637163,27.998248500758205,28.741896812444537,24.684939980496214,24.387737777303858,25.03548901158017,31.285496788340257,30.90882507753972,31.72977984492448,8.528075451749238,8.391333467965682,8.649116663451736,7.725016241552222,7.601150774881969,7.834659423251225,1.4466237467321001,1.3942635139452084,1.4938359572780442
8723-6101,9.140461071519226,8.086349203444291,10.444413718880682,15.144352077691881,13.397849233416107,17.304803047261853,17.59090760007871,15.562258899934903,20.100377347298036,29.145455133748456,25.784293162099313,33.303264360530626,7.041300400489107,5.786590506206403,7.8203181296249955,3.658749944389193,3.0067866002869397,4.0635375419977455,2.3081731343994383,1.8973934118341325,2.607041844834875
8723-12701,12.553215680963314,12.279203088441443,12.85663090962333,14.095670060297795,13.787988650632196,14.43636690349369,16.320490376803363,15.964245411924935,16.714961836975185,18.325842032854478,17.925824092177834,18.76878348244799,16.77946729155011,16.476666379057615,17.090795662307873,12.906246507266678,12.673341424444327,13.145710646854045,2.794335458471461,2.61468394992242,2.9780980824375485
10494-9102,12.574871871029176,11.437933999496446,13.500160794979786,14.508479123153744,13.19671709944213,15.576047458935452,20.40669870691634,18.561658150574488,21.908272041544805,23.544586791686548,21.415838867444926,25.27705338067283,10.33090226863021,9.48513610352049,11.79603824930252,6.366035692785519,5.8448636349307215,7.268871447612665,1.5749690739443634,1.4462746083321432,1.7593184939445283
9884-3701,21.572214953600966,16.932628608454362,25.75021673480492,24.52326956838767,19.248993057025157,29.27281726935592,36.738983592779476,28.83744511014111,43.85441143458453,41.764835008929346,32.78237499582884,49.85364533435532,12.87481488826199,7.775887577548969,21.52637761211852,7.559770224889813,4.5658072672127314,12.639752100062719,1.0033297527214327,0.6005755836697989,1.6814091495798238
11017-9101,13.677907717155499,13.268127583868889,14.061622220951286,16.490197474938107,15.99616319287264,16.952806820785217,26.8265742770419,26.02286968930869,27.57915616676653,32.34233747970583,31.373384651737013,33.24965636460047,12.515379385914455,12.074510660857266,12.956043405209373,6.3811429114237335,6.156359766381139,6.605821684342753,1.5025642979434424,1.3549463694890371,1.7038071032943773
11758-3701,13.668515790390018,8.887197512180423,17.524933922761363,16.4788744911722,10.71447804775153,21.128203749986685,26.808153826620032,17.430521473413716,34.371773176210574,32.3201296339362,21.01437932844284,41.43889101756317,16.90796005903995,11.492492667268944,30.573986933662432,8.620762195895278,5.859609673588341,15.588578977899424,2.024522968061591,1.3676142168574021,3.756689064953049
8723-12705,5.872605647158289,4.5802341527839605,7.297745201460975,8.894634991278306,6.937212101635619,11.053148078784753,9.170114100492762,7.152067125148582,11.395479314382932,13.889033702054576,10.832504399831556,17.25956673102088,28.458758197038378,22.431903140766575,36.87783095134129,18.225189159866524,14.365548739889155,23.61682263998854,4.371075408515932,3.4201183192985027,5.824004592766247
8716-9102,9.583978903109125,9.167309318187577,10.752894334299992,12.372248691093187,11.834357301850709,13.881237030879515,25.201867987790223,24.10620073101927,28.275628133089203,32.53385481930569,31.11942476676661,36.50186490351744,5.505450719145184,4.614357160178098,5.874209014910817,2.093659230734703,1.7547866569249149,2.233893745441174,2.1679241979132016,1.7642200250157232,2.458000964061883
9504-3704,15.243302201400997,13.10081105612839,18.07887507424763,25.20088271754544,21.658824221163194,29.888773731022408,16.237787423508827,13.955518443071691,19.258355337521582,26.845008453264835,23.071863228826388,31.838741224266393,5.584209090519611,4.863921697438852,6.173221638110105,5.2422035405736995,4.566030234554599,5.7951419446286785,1.2407236149174399,1.0771736508987122,1.420717017537997
8715-12701,7.448507144982233,6.554447492010109,8.865247630268874,11.018451980006557,9.695884496108658,13.114212472869625,15.266676024660091,13.43418545937407,18.170468365714825,22.583738378415138,19.872965749161352,26.879269797939436,21.104227509371523,16.610777883038878,24.8093339516803,10.296608714232821,8.104285277664601,12.104304886201014,1.9702110632683119,1.5467168682086803,2.341598163624704
8135-6103,9.230676241297305,8.302245492949796,9.956623406835064,13.228480337269644,11.897946411262783,14.268835079888504,9.660527460480422,8.688861841937943,10.420280304606804,13.844500036398003,12.4520062262713,14.933301690468152,16.98458420492387,15.359616180596108,19.36691560713569,16.228844494264038,14.676180439802133,18.505172568818214,2.0147084536263993,1.8199956132642772,2.3167562027224733
8337-6102,4.313505364470902,3.6539253822039504,4.802697780978059,5.392174910654758,4.567655098706821,6.0036986835238855,6.591826829282931,5.583867720439083,7.339402506914938,8.240231607686946,6.980214206887816,9.17475202023719,,,,,,,,,
9026-12705,7.745027877044895,6.6686082954271555,8.77859509211264,11.795894978133568,10.15647772376805,13.370046874722078,11.485838953763363,9.889513910469134,13.018614144326955,17.49325530975914,15.062007435561966,19.827714973431178,20.496317296837894,17.64303258670565,24.055135985635093,13.820892795014677,11.896891447783574,16.22064348497638,2.418479764485152,2.0569018356430733,2.931478715634662
8079-12704,9.212622595078344,8.989870660618836,9.476292367042308,10.682434544218415,10.42414403737263,10.988171054232271,16.50347206872218,16.104434738074307,16.97580952443195,19.136489995872054,18.67378894398887,19.68418571458063,16.60666168834168,15.719754453659306,17.325657895613432,9.270225444789336,8.775133163846908,9.6715858783578,1.317791327530423,1.2280932881531401,1.4145328209156747
8078-12703,17.211557635720585,16.10643948416347,18.38167512610582,23.617428802217546,22.1010030483816,25.223045626928936,30.54732162345809,28.585941931856258,32.624063082455905,41.91655449261478,39.22518011494752,44.766226473882895,8.05170474040473,7.21355040794743,8.92246929971919,4.536645860920901,4.064396876917025,5.027268724179543,0.8006322605859395,0.7156616341432759,0.8887392362006488
8091-6101,18.2809722628894,15.163190269225376,24.382233267503242,24.667523396033904,20.460528321238858,32.900291129189114,23.62313474772051,19.594257995915793,31.507338540075303,31.875997660146037,26.43961221490211,42.51458836036911,9.301519037435433,5.942168389153884,11.986914809622062,7.198062972675665,4.598399690118279,9.276180299207075,1.3016216237323572,0.8941733969847503,1.7901379646695559
12510-6104,15.68952853480172,13.254262585744284,16.90465226604408,17.269717344590862,14.589180800370208,18.60722365210754,35.67456028551802,30.13729753614907,38.437486189149524,39.26756442406055,33.17260992417109,42.30876156991012,8.909543095590012,8.04554586012563,10.989054497304506,3.918381320233148,3.538398801280809,4.832942094480161,1.5421469898838147,1.3238375025274123,1.9423971068443295
9026-9101,6.438396799283699,5.744644643756678,6.821939267068995,8.485435805286833,7.571110459393453,8.990922666450082,10.252178579897038,9.147482611260433,10.862912275767837,13.511780326079242,12.055854725583798,14.316692128193365,10.245928518102534,9.437796058581636,11.982162979528226,6.434471743010103,5.926962299994834,7.52483183692894,1.1774105083708837,1.0695172456577493,1.3922044603311712
8484-12703,6.089772338325144,5.480391645431904,6.69203725544777,9.697317736838428,8.72694349731378,10.656360856781237,9.890554915068446,8.900844155388278,10.868708761433536,15.749661609098206,14.173652002994292,17.30726805425502,21.689241913337785,19.864335071645105,24.741680087425628,13.35441202008358,12.230787784639608,15.233846866422452,2.8603733964941647,2.598556195052626,3.2429807803225787
8938-12702,16.109947410267026,15.362742438889823,20.289407983388482,23.66507183996598,22.567448186920913,29.804585036153703,20.212599584897802,19.275107083546303,25.456425706361927,29.69175560090451,28.314604774218793,37.3947926574781,10.708665415722875,7.41830079629216,11.205596713816155,8.53507417276198,5.912571275151638,8.931140846183837,1.6982042251029676,1.217743259874978,1.8876827594239796
10220-9101,13.225665191104747,12.66233154316314,13.859322662632728,20.614984464168923,19.736910338394853,21.602673078873885,18.308653938747593,17.528815596918705,19.185843493622336,28.537892881257765,27.322350595174616,29.905177534587448,11.005023165165982,10.277501067003858,11.588162445214826,7.949724337451397,7.424182496876279,8.370968023825615,1.7671334619799244,1.6569677033911425,1.8642355008103544
9484-3701,13.87239300786137,11.61847486354574,16.154219872298977,25.822128553706186,21.62667618733601,30.069530324793394,15.31137713895018,12.823659934832444,17.82989803634642,28.500659445864553,23.87001256225972,33.18864444894998,4.61661046167495,3.267746453787499,6.44876412912007,4.182735106539892,2.9606391799773557,5.842700470526472,0.7593128812939887,0.5188613337415168,1.0588869154147413
9484-12703,11.152633905144738,9.986039218690166,12.21431007431162,20.926621165220247,18.737641838504253,22.918733089744975,17.551328815089708,15.715413899380392,19.222129425840226,32.93302839342413,29.488147456831825,36.068091529287095,3.949820224843661,1.8057216096012727,5.728935594054518,2.5098326983051664,1.147408965934113,3.640335271464536,0.5362701038122102,0.2479759247999488,0.77619701433296
11955-12703,13.859979759050113,13.27120988038011,14.742269424387041,18.602174092587113,17.81195650396912,19.78633931071964,23.168880822444944,22.18467021118172,24.643750516516352,31.096117172039907,29.77515873972075,33.075613772320466,14.441232540809217,12.428099703443074,15.229513063995732,8.63896673495987,7.434679804054529,9.11052823072424,1.5190108419824095,1.247230385550667,1.6759272696968368
9189-3701,15.574353166623283,15.001986889846524,16.26631251203417,20.486610067091014,19.73371557430352,21.39681809563965,23.375983971686388,22.51690335570674,24.41456518236857,30.748928282222778,29.618887797877758,32.115085069514016,14.067121596062275,13.456603605879554,14.753023868060652,9.372282255167116,8.96552193204234,9.829267690938758,1.5536199679291358,1.405626258038352,1.6407396615758905
9029-12704,14.524855688821706,14.246264205396058,15.240917583923906,17.05768469065203,16.73051271844215,17.898612703110306,23.01826549126815,22.576767629500544,24.15304460114447,27.032166328367875,26.513680535533137,28.364827021493102,11.124527814893773,10.138830409175982,11.427470862874625,7.019736616510501,6.397747415094436,7.210898025067669,1.4379482031425805,1.3275914909289677,1.5261451455854897
9028-12702,3.2879634256252177,0.35312853361286783,4.0038792859578045,4.307005424144158,0.46257403529404684,5.244805847850803,5.462630103799758,0.5866885693406123,6.6520543838757575,7.155668856834949,0.7685215810917665,8.71373266799853,,,,,,,,,
8154-12701,11.397919961137148,9.97770453515897,13.46224437542508,18.785280329657528,16.444577377147734,22.18756012684659,18.12421725194309,15.865884765598684,21.40676918164728,29.8711083245226,26.149077552399188,35.281188269495246,7.751412677930473,6.340076745272578,9.109829081566945,4.8746922452236285,3.9871342461609696,5.728970321198708,1.7607571288332362,1.3894376390258953,2.294184721110187
9193-9101,20.24457224579689,18.232324147488292,22.740912630581573,48.8110310884436,43.95936500769474,54.829876369521855,22.849032312717053,20.577908909306917,25.666526375962967,55.09056022601002,49.61472829913098,61.88372871793279,4.500706277453715,4.297309276709495,4.793860379047144,3.9876906883409515,3.8074780115067997,4.247429451350042,0.730903761074132,0.6880487160383714,0.7889568366700775
9192-12701,12.137147816313774,10.038087136134314,12.865174189152816,13.737905059930135,11.362001200493088,14.56195016035684,21.524370801271633,17.801835564959887,22.815473936806455,24.36320023598512,20.149703256904306,25.824585774580502,12.8301430068249,11.928170551919541,16.185528808915276,7.234652460506695,6.726048835689797,9.126685163192038,2.1080267455082,1.89478242233769,2.6290454392375624
9192-6101,7.653564999216913,3.5246494842609835,7.818586496425966,8.352590093372994,3.8465672360348044,8.53268354301678,13.255666681517976,6.10455111275964,13.541477275994154,14.466350023345974,6.662099708324455,14.778264633105874,14.86041949594177,14.351538656395212,43.44820523183827,8.580118168360292,8.286300235554544,25.086151517737953,5.301725608251471,4.497778230144952,21.5150569157991
7961-12702,13.567715004534067,13.25534642609359,13.875028367679905,14.945316164319578,14.601231168206978,15.283832662654047,23.34568124010918,22.808195211012873,23.874468866797322,25.716090519903872,25.124030719409497,26.298568723639246,12.781454435346138,12.326700826844139,13.218015916235593,7.428146102855095,7.1638587901833946,7.681860770409504,0.8176117158728492,0.7629075510480923,0.8611133629566315
8563-12705,12.07321372859529,11.079725899691299,12.90511218698405,17.05845462151271,15.654738309736977,18.23385848838206,14.454478428114427,13.265039666049393,15.450456681417583,20.42298512115487,18.74240631224188,21.83022019707712,13.981215303312485,12.82755329020647,15.780112779461014,11.677917081676284,10.714312056143214,13.18045996576463,2.2570706447955438,2.00667621549754,2.6329078230827734
8549-12701,5.563859496228299,4.9720511321052046,9.78162621297021,6.875622468453117,6.14428644385695,12.087790680821376,6.704997339518988,5.991810115858799,11.787820626777972,8.28580060114147,7.404468838084584,14.566975390106814,,,,,,,,,
9196-12701,11.70276659693607,10.942365202323382,12.530538322956746,22.698098513691654,21.223262147273296,24.30360299234929,18.91599189145899,17.686902470969855,20.25397664298651,36.68850813011512,34.30462800080428,39.28359617604266,12.20200801390515,11.264716671971591,13.081904772237252,7.549022679860195,6.969148155123791,8.093388867541353,1.036498686434371,0.9489875311241791,1.1232606352244863
8140-12701,15.681354557551181,14.683970810045203,16.969079182486393,30.74871365290995,28.792998211264024,33.273742700025444,27.354957552954218,25.615095733179572,29.601297454632807,53.63884565560434,50.22724542071776,58.0435711625957,3.6330538447980527,2.805079261647221,4.258608397721361,2.082664736608233,1.6080245190939253,2.441266745786691,0.470788191144238,0.3639789093459828,0.5545119858963996
9486-12702,9.822614548386833,8.110119440838064,11.694917391718684,14.31168665801082,11.816557355941283,17.039658064266284,12.337183390802188,10.186293106590597,14.688791857928589,17.97544859994265,14.841571399350306,21.401774997873577,9.583472272028208,7.833770999332509,12.034872163923023,7.630165750268973,6.2370891758115485,9.58192049681767,1.6928192669516235,1.3101587377429467,2.2141190612856203
8084-6101,10.42879398346455,9.954742965959841,11.585173251348444,13.33736182333972,12.731099013545272,14.816252740662499,25.12738683270814,23.98519691945774,27.913594829099058,32.13536008039121,30.67461589768478,35.698635395050644,11.646467181423409,9.903149084440006,12.147898504038864,4.8337142130571245,4.110172787833404,5.041826739649255,1.6029203004235577,1.4137620439741825,1.9381832004086856
11956-6103,19.77773167378202,18.784050682857597,20.796958100686766,23.046885305186958,21.888954142730228,24.234584428035724,27.215171457442136,25.847815534727374,28.61767920806248,31.713694243922607,30.12032167511836,33.34802905042783,9.520868720260934,8.798901081517066,10.318963568936509,6.918978524352937,6.394312263897482,7.498967733387181,0.8245020523063111,0.759698662056441,0.8938902485578751
11017-12704,19.28851623124221,17.220351341957542,20.08543686663993,22.36399893781553,19.96607279188041,23.287985626573402,37.72114024667744,33.67658145808591,39.27961963891905,43.73563680567026,39.046188049343186,45.542609983640524,4.740594736131977,4.231418937037117,6.208214472146956,2.4240793866690487,2.16371489076116,3.1745393917032225,0.7127159660127931,0.6021854821613295,1.0938079611661733
8626-6104,14.8673734283759,12.584183652027088,15.426858846816843,18.639151557908463,15.776727977721205,19.340575623093844,26.358709420731774,22.310789580882957,27.350634029396982,33.045781901609146,27.970925084923355,34.28935281236884,16.11707643197049,15.205692441137446,20.839685339539194,9.090680050492747,8.57662278342105,11.754421626921152,2.6602930214674334,2.4009255799491225,3.4193414734272984
9000-12702,7.146176866949362,5.424082819401484,8.510687160206402,8.286379820286673,6.289518333379725,9.86860354202411,13.032823925897087,9.892158794961421,15.521346492325645,15.112266487605842,11.470494859530671,17.99784342765497,17.068226151162815,13.12954798826184,24.47631755184455,9.358874452292127,7.199212744735978,13.420889844873619,4.148919686158925,2.6642113778498397,6.616990274069409
11956-12702,9.349011080981624,8.987750531769635,9.692044296533284,10.708504869245246,10.294711333566111,11.101420529225628,11.81607278201004,11.359481073455816,12.249627241032005,13.534316284950336,13.011328934528184,14.030916406107988,19.436476051867945,18.65612507423404,20.236022876089173,15.378360757967188,14.760938195365709,16.010971292559407,1.2232049088291914,1.1532480638428682,1.2997183086114534
